,rgi_id,MB_profile,exist_diff_total_winter_summer_above_100,len_mb_profile,len_summer_balance,len_winter_balance,len_annual_balance,len_winter_balance_filtered,len_summer_balance_filtered
RGI60-07.01107,RGI60-07.01107,False,False,0,0,0,4,0,0
RGI60-07.00493,RGI60-07.00493,True,True,13,36,36,41,15,15
RGI60-07.00570,RGI60-07.00570,False,False,0,14,14,14,0,0
RGI60-07.00627,RGI60-07.00627,False,False,0,0,0,8,0,0
RGI60-07.01060,RGI60-07.01060,False,False,0,10,10,10,0,0
RGI60-07.00492,RGI60-07.00492,True,False,18,14,14,25,0,0
RGI60-07.00246,RGI60-07.00246,False,False,0,8,8,9,3,3
RGI60-02.14017,RGI60-02.14017,False,False,0,3,3,24,2,2
RGI60-02.18415,RGI60-02.18415,True,False,7,0,0,36,0,0
RGI60-02.18487,RGI60-02.18487,False,False,0,0,0,36,0,0
RGI60-02.17739,RGI60-02.17739,False,False,0,0,0,30,0,0
RGI60-02.18792,RGI60-02.18792,False,False,0,0,0,5,0,0
RGI60-02.14297,RGI60-02.14297,False,False,0,11,11,12,8,8
RGI60-01.20830,RGI60-01.20830,False,False,0,0,0,0,0,0
RGI60-01.00570,RGI60-01.00570,False,False,0,41,41,41,40,40
RGI60-01.01104,RGI60-01.01104,False,False,0,22,22,41,21,21
RGI60-02.17307,RGI60-02.17307,False,False,0,0,0,36,0,0
RGI60-02.18005,RGI60-02.18005,False,False,0,0,0,14,0,0
RGI60-01.02228,RGI60-01.02228,False,False,0,0,0,9,0,0
RGI60-02.14336,RGI60-02.14336,False,False,0,10,10,11,7,7
RGI60-02.17369,RGI60-02.17369,False,False,0,15,15,24,12,12
RGI60-02.18077,RGI60-02.18077,False,False,0,15,15,24,12,12
RGI60-02.17733,RGI60-02.17733,False,False,0,0,0,36,0,0
RGI60-02.17862,RGI60-02.17862,False,True,0,12,12,23,10,10
RGI60-02.18774,RGI60-02.18774,False,False,0,0,0,30,0,0
RGI60-02.17612,RGI60-02.17612,False,False,0,15,15,24,12,12
RGI60-02.18778,RGI60-02.18778,False,False,0,41,41,41,31,31
RGI60-02.17023,RGI60-02.17023,False,False,0,15,15,15,14,14
RGI60-02.17789,RGI60-02.17789,False,False,0,0,0,10,0,0
RGI60-01.01390,RGI60-01.01390,False,False,0,25,25,41,24,24
RGI60-01.09162,RGI60-01.09162,False,False,0,41,41,41,40,40
RGI60-02.17806,RGI60-02.17806,False,False,0,0,0,36,0,0
